#DATE: 2026-02-04
symbol,entry_time,entry_price,exit_time,exit_price,pnl_percent,trade_status,exit_reason
NIFTY2621025750PE,09:22:02,195.7,09:23:12,182.75,-6.62,EXECUTED,SL
NIFTY2621025800PE,09:52:01,179.7,10:00:02,173.5,-3.45,EXECUTED,SL
NIFTY2621025750CE,09:57:02,188.3,10:12:00,199.25,5.82,EXECUTED,MA_TRAILING_EXIT
NIFTY2621025800PE,10:12:01,172.8,10:15:51,179.4,3.82,EXECUTED,FORCE_EXIT
NIFTY2621025700CE,10:40:03,196.25,10:47:58,199.35,1.58,EXECUTED,FORCE_EXIT
NIFTY2621025800PE,10:55:01,189.35,11:03:57,177.05,-6.5,EXECUTED,SL
NIFTY2621025800PE,11:06:01,183.85,11:09:37,188.35,2.45,EXECUTED,FORCE_EXIT
NIFTY2621025700CE,11:16:01,181.4,11:27:47,169.6,-6.5,EXECUTED,SL
NIFTY2621025750PE,11:48:01,177.7,11:54:35,167.55,-5.71,EXECUTED,SL
NIFTY2621025700CE,11:54:01,176.1,11:58:30,188.8,7.21,EXECUTED,FORCE_EXIT
NIFTY2621025800PE,13:46:01,159.95,14:00:55,161.45,0.94,EXECUTED,FORCE_EXIT
NIFTY2621025750CE,14:10:01,177,14:10:47,181.65,2.63,EXECUTED,FORCE_EXIT
NIFTY2621025850PE,14:24:01,165.75,14:26:19,169.45,2.23,EXECUTED,FORCE_EXIT
NIFTY2621025750CE,14:50:01,192.45,14:52:46,192.55,0.05,EXECUTED,FORCE_EXIT
NIFTY2621025750CE,15:15:02,188.65,15:21:14,176.4,-6.49,EXECUTED,SL
