candle_time,symbol,open,high,low,close,supertrend,supertrend_dir,demarker,fast_ma,slow_ma,stoch_k,stoch_d,wpr_9,wpr_28
2026-03-12T09:15:00,NIFTY2631723650CE,302.3,310.95,266.0,266.0,343.35,-1.0,0.09,411.73,417.28,30.08,25.98,-100.0,-100.0
2026-03-12T09:15:00,NIFTY2631723700CE,285.05,312.9,238.95,240.3,329.17,-1.0,0.06,379.88,384.9,13.81,12.03,-99.19,-99.34
2026-03-12T09:15:00,NIFTY2631723750CE,257.3,287.0,215.9,215.9,301.37,-1.0,0.07,348.98,353.87,23.92,21.98,-100.0,-100.0
2026-03-12T09:15:00,NIFTY2631723600PE,245.65,286.35,200.0,283.9,211.2,1.0,0.96,198.04,195.02,100.0,100.0,-2.33,-2.2
2026-03-12T09:15:00,NIFTY2631723650PE,261.0,311.2,253.4,311.2,247.68,1.0,0.96,215.31,211.9,100.0,99.59,0.0,0.0
2026-03-12T09:15:00,NIFTY2631723700PE,287.55,333.95,276.0,328.8,268.42,1.0,0.96,232.42,229.08,100.0,99.43,-4.28,-4.0
2026-03-12T09:16:00,NIFTY 50,23596.25,23608.4,23568.9,23575.45,,,,,,,,,
2026-03-12T09:16:00,NIFTY2631723650CE,265.85,284.3,262.05,264.75,328.13,-1.0,0.07,393.11,400.95,12.29,24.15,-98.47,-98.72
2026-03-12T09:16:00,NIFTY2631723700CE,238.95,257.2,238.0,240.85,300.32,-1.0,0.05,362.15,369.7,5.61,11.08,-98.26,-98.59
2026-03-12T09:16:00,NIFTY2631723750CE,216.05,232.7,214.9,217.35,273.18,-1.0,0.05,332.19,339.35,9.26,19.37,-98.42,-98.73
2026-03-12T09:16:00,NIFTY2631723600PE,284.85,294.45,270.0,289.4,247.33,1.0,0.96,209.72,204.9,100.0,100.0,-4.45,-4.22
2026-03-12T09:16:00,NIFTY2631723650PE,308.0,317.85,292.75,313.05,267.87,1.0,0.96,227.79,222.55,100.0,100.0,-3.97,-3.74
2026-03-12T09:16:00,NIFTY2631723700PE,332.5,342.8,316.15,337.4,289.91,1.0,0.96,245.72,240.35,100.0,100.0,-4.19,-3.93
2026-03-12T09:17:00,NIFTY 50,23575.25,23587.2,23557.85,23562.95,,,,,,,,,
2026-03-12T09:17:00,NIFTY2631723650CE,266.1,274.5,264.35,265.45,321.42,-1.0,0.06,374.56,385.07,0.35,14.24,-98.07,-98.31
2026-03-12T09:17:00,NIFTY2631723700CE,240.85,248.65,238.95,240.45,293.68,-1.0,0.04,344.32,354.57,0.52,6.65,-98.51,-98.73
2026-03-12T09:17:00,NIFTY2631723750CE,217.35,224.9,215.85,217.3,267.08,-1.0,0.04,315.3,325.04,1.52,11.57,-98.45,-98.69
2026-03-12T09:17:00,NIFTY2631723600PE,289.4,305.85,285.75,300.75,259.37,1.0,0.97,222.77,215.68,100.0,100.0,-4.08,-4.03
2026-03-12T09:17:00,NIFTY2631723650PE,313.3,329.1,307.6,323.0,279.29,1.0,0.97,241.5,233.98,100.0,100.0,-4.61,-4.54
2026-03-12T09:17:00,NIFTY2631723700PE,337.4,354.15,332.25,346.4,302.12,1.0,0.97,260.12,252.32,100.0,100.0,-5.53,-5.41
2026-03-12T09:18:00,NIFTY 50,23560.95,23572.0,23559.35,23568.4,,,,,,,,,
2026-03-12T09:18:00,NIFTY2631723650CE,265.45,268.2,263.15,266.4,313.73,-1.0,0.06,356.17,369.98,1.22,4.62,-97.53,-97.78
2026-03-12T09:18:00,NIFTY2631723700CE,240.45,242.55,237.0,240.3,286.05,-1.0,0.04,326.58,340.01,0.79,2.31,-98.0,-98.24
2026-03-12T09:18:00,NIFTY2631723750CE,217.3,219.15,214.2,217.25,259.95,-1.0,0.04,298.64,311.3,2.32,4.37,-98.04,-98.29
2026-03-12T09:18:00,NIFTY2631723600PE,300.75,302.0,292.45,293.4,262.05,1.0,0.98,234.9,225.6,95.66,98.55,-9.97,-9.83
2026-03-12T09:18:00,NIFTY2631723650PE,323.0,324.45,315.5,316.05,282.58,1.0,0.98,254.42,244.47,96.11,98.7,-9.86,-9.73
2026-03-12T09:18:00,NIFTY2631723700PE,346.4,350.5,339.6,340.55,305.35,1.0,0.98,273.86,263.49,96.78,98.93,-9.71,-9.53
2026-03-12T09:19:00,NIFTY 50,23572.2,23572.85,23561.05,23563.15,,,,,,,,,
