candle_time,symbol,open,high,low,close,supertrend,supertrend_dir,demarker,fast_ma,slow_ma,stoch_k,stoch_d,wpr_9,wpr_28
2026-03-09T11:07:00,NIFTY 50,23848.6,23852.4,23841.45,23841.6,,,,,,,,,
2026-03-09T09:15:00,NIFTY2631023600CE,350.0,489.9,323.1,422.5,,,0.0,,,,,,
2026-03-09T09:15:00,NIFTY2631023650CE,300.0,433.15,300.0,386.25,,,0.0,,,,,,
2026-03-09T09:15:00,NIFTY2631023700CE,250.0,405.05,249.9,353.6,,,0.0,,,,,,
2026-03-09T09:15:00,NIFTY2631023750CE,221.75,358.65,221.75,318.8,,,0.0,,,,,,
2026-03-09T09:15:00,NIFTY2631023800CE,218.0,325.85,181.45,287.5,,,0.0,,,,,,
2026-03-09T09:15:00,NIFTY2631023850CE,191.05,290.0,191.0,256.7,,,0.0,,,,,,
2026-03-09T09:15:00,NIFTY2631023900CE,287.05,287.05,150.0,226.2,,,0.0,,,,,,
2026-03-09T09:15:00,NIFTY2631023950CE,138.05,226.05,136.55,201.6,,,0.0,,,,,,
2026-03-09T09:15:00,NIFTY2631024000CE,152.25,190.4,103.7,174.6,,,0.0,,,,,,
2026-03-09T09:15:00,NIFTY2631024050CE,150.05,164.85,92.4,151.75,,,0.0,,,,,,
2026-03-09T09:15:00,NIFTY2631024100CE,99.95,140.7,80.6,129.2,,,0.0,,,,,,
2026-03-09T09:15:00,NIFTY2631023550PE,90.4,120.95,72.45,111.35,,,0.0,,,,,,
2026-03-09T09:15:00,NIFTY2631023600PE,109.55,134.0,80.0,123.6,,,0.0,,,,,,
2026-03-09T09:15:00,NIFTY2631023650PE,128.4,149.95,90.05,138.4,,,0.0,,,,,,
2026-03-09T09:15:00,NIFTY2631023700PE,118.5,167.5,100.0,152.8,,,0.0,,,,,,
2026-03-09T09:15:00,NIFTY2631023750PE,174.25,187.55,116.5,169.25,,,0.0,,,,,,
2026-03-09T09:15:00,NIFTY2631023800PE,170.0,206.3,130.05,186.5,,,0.0,,,,,,
2026-03-09T09:15:00,NIFTY2631023850PE,213.8,231.9,142.0,206.0,,,0.0,,,,,,
2026-03-09T09:15:00,NIFTY2631023900PE,165.0,255.15,158.4,225.85,,,0.0,,,,,,
2026-03-09T09:15:00,NIFTY2631023950PE,180.0,282.85,177.85,250.4,,,0.0,,,,,,
2026-03-09T09:15:00,NIFTY2631024000PE,280.0,343.95,200.1,275.35,,,0.0,,,,,,
2026-03-09T09:15:00,NIFTY2631024050PE,255.0,342.4,219.55,301.85,,,0.0,,,,,,
2026-03-09T11:08:00,NIFTY 50,23839.5,23845.0,23838.1,23841.9,,,,,,,,,
2026-03-09T11:08:00,NIFTY2631023600CE,367.2,373.0,364.85,369.0,403.43,-1.0,0.43,376.27,379.52,2.23,3.67,-88.58,-50.65
2026-03-09T11:08:00,NIFTY2631023650CE,334.7,337.35,327.85,332.6,365.87,-1.0,0.41,339.75,342.65,3.09,4.88,-86.97,-50.98
2026-03-09T11:08:00,NIFTY2631023700CE,299.05,300.75,293.3,297.3,328.35,-1.0,0.42,303.82,307.13,2.67,4.84,-88.73,-51.83
2026-03-09T11:08:00,NIFTY2631023750CE,265.7,267.6,260.8,263.35,293.94,-1.0,0.44,270.93,273.89,2.69,4.71,-92.46,-53.62
2026-03-09T11:08:00,NIFTY2631023800CE,231.85,236.1,231.0,232.3,260.7,-1.0,0.43,238.87,241.45,1.95,4.05,-95.67,-53.89
2026-03-09T11:08:00,NIFTY2631023850CE,202.65,205.85,201.95,202.8,229.89,-1.0,0.43,209.51,212.29,3.53,6.21,-96.96,-55.87
2026-03-09T11:08:00,NIFTY2631023900CE,175.55,179.3,174.45,175.65,200.73,-1.0,0.42,181.99,184.59,3.09,5.97,-95.54,-57.41
2026-03-09T11:08:00,NIFTY2631023950CE,151.2,154.5,150.3,151.2,174.07,-1.0,0.42,157.03,159.42,3.04,6.1,-96.36,-57.99
2026-03-09T11:08:00,NIFTY2631024000CE,131.55,132.45,128.7,129.65,150.18,-1.0,0.44,135.09,137.24,4.65,7.91,-95.68,-59.24
2026-03-09T11:08:00,NIFTY2631024050CE,111.95,112.65,108.8,110.0,128.69,-1.0,0.44,115.01,116.75,3.33,5.56,-94.07,-60.29
2026-03-09T11:08:00,NIFTY2631024100CE,94.5,94.9,91.7,92.6,108.57,-1.0,0.44,97.13,98.7,2.36,4.5,-95.0,-60.87
2026-03-09T11:08:00,NIFTY2631023550PE,104.1,104.35,101.6,102.75,113.08,-1.0,0.49,100.13,100.11,98.36,97.64,-16.33,-72.35
2026-03-09T11:08:00,NIFTY2631023600PE,115.85,116.45,113.5,114.4,125.88,-1.0,0.48,111.98,111.95,98.41,97.49,-19.81,-69.9
2026-03-09T11:08:00,NIFTY2631023650PE,129.6,130.2,126.65,127.5,140.91,-1.0,0.48,125.01,124.83,97.82,97.92,-23.79,-70.74
2026-03-09T11:08:00,NIFTY2631023700PE,144.6,145.5,141.75,142.4,157.52,-1.0,0.54,140.18,139.86,97.76,97.63,-25.83,-71.61
2026-03-09T11:08:00,NIFTY2631023750PE,161.15,161.65,158.45,158.95,175.65,-1.0,0.53,156.36,156.01,98.28,98.11,-22.88,-73.14
2026-03-09T11:08:00,NIFTY2631023800PE,180.45,181.35,176.8,177.85,196.69,-1.0,0.51,175.08,174.6,98.07,98.46,-24.82,-73.59
2026-03-09T11:08:00,NIFTY2631023850PE,199.35,201.65,197.25,198.25,215.78,-1.0,0.52,195.46,195.01,98.64,98.46,-22.22,-72.38
2026-03-09T11:08:00,NIFTY2631023900PE,223.0,224.55,219.65,221.85,240.79,-1.0,0.52,218.27,217.57,98.77,98.36,-15.65,-70.65
2026-03-09T11:08:00,NIFTY2631023950PE,247.8,251.5,245.95,246.65,265.34,-1.0,0.56,243.13,242.2,98.86,98.67,-24.19,-69.57
2026-03-09T11:08:00,NIFTY2631024000PE,276.45,279.75,271.75,275.35,292.9,-1.0,0.56,270.86,269.77,98.32,96.69,-19.26,-67.96
