candle_time,symbol,open,high,low,close,supertrend,supertrend_dir,demarker,fast_ma,slow_ma,stoch_k,stoch_d,wpr_9,wpr_28
2026-03-13T09:15:00,NIFTY2631723450CE,242.1,277.0,231.65,250.0,306.59,-1.0,0.05,369.95,373.65,31.22,42.33,-88.58,-89.65
2026-03-13T09:15:00,NIFTY2631723500CE,212.05,247.0,198.9,225.2,274.55,-1.0,0.04,336.84,340.35,21.03,32.0,-83.57,-85.09
2026-03-13T09:15:00,NIFTY2631723550CE,190.95,219.0,183.25,199.9,248.74,-1.0,0.04,305.98,309.25,27.79,38.03,-88.34,-89.53
2026-03-13T09:15:00,NIFTY2631723400PE,209.65,240.0,182.65,216.4,181.74,1.0,0.92,158.31,156.85,69.1,54.07,-25.68,-24.06
2026-03-13T09:15:00,NIFTY2631723450PE,236.1,263.8,221.0,236.8,209.78,1.0,0.92,173.94,172.4,69.04,52.46,-26.79,-25.01
2026-03-13T09:15:00,NIFTY2631723500PE,257.1,289.45,225.65,259.6,221.98,1.0,0.92,191.04,189.37,65.34,48.88,-27.05,-25.35
2026-03-13T09:17:00,NIFTY 50,23455.85,23465.4,23455.75,23463.75,,,,,,,,,
2026-03-13T09:17:00,NIFTY2631723450CE,243.15,249.5,241.05,244.35,293.52,-1.0,0.03,337.79,347.0,0.49,15.86,-91.88,-92.84
2026-03-13T09:17:00,NIFTY2631723500CE,217.4,223.15,215.95,217.95,266.64,-1.0,0.02,306.24,315.17,0.24,10.45,-87.78,-89.2
2026-03-13T09:17:00,NIFTY2631723550CE,193.75,198.75,191.65,193.75,238.72,-1.0,0.03,277.24,285.58,0.0,13.51,-92.48,-93.4
2026-03-13T09:17:00,NIFTY2631723400PE,215.65,216.25,208.4,209.3,182.89,1.0,0.95,172.31,168.16,93.39,81.92,-33.75,-31.29
2026-03-13T09:17:00,NIFTY2631723450PE,237.5,238.5,229.15,230.8,209.78,1.0,0.95,189.36,184.89,94.79,82.98,-32.9,-30.57
2026-03-13T09:17:00,NIFTY2631723500PE,258.55,262.5,253.0,254.75,222.12,1.0,0.95,208.19,203.28,94.93,80.58,-31.73,-29.47
2026-03-13T09:18:00,NIFTY 50,23463.5,23476.65,23451.3,23455.7,,,,,,,,,
2026-03-13T09:18:00,NIFTY2631723450CE,244.35,251.9,240.35,241.6,292.44,-1.0,0.04,322.06,333.6,0.84,5.74,-93.63,-94.39
2026-03-13T09:18:00,NIFTY2631723500CE,217.95,224.5,214.5,214.5,264.38,-1.0,0.03,291.22,302.31,0.26,3.53,-89.94,-91.15
2026-03-13T09:18:00,NIFTY2631723550CE,193.75,199.75,190.6,190.75,236.63,-1.0,0.03,263.07,273.47,0.0,4.25,-94.6,-95.29
2026-03-13T09:18:00,NIFTY2631723400PE,209.3,211.55,202.35,209.15,182.89,1.0,0.92,178.78,173.6,86.88,87.84,-33.92,-31.45
2026-03-13T09:18:00,NIFTY2631723450PE,230.8,234.2,224.2,231.1,209.78,1.0,0.93,196.64,190.94,89.18,89.7,-32.6,-30.29
2026-03-13T09:18:00,NIFTY2631723500PE,254.75,257.95,247.65,255.3,222.12,1.0,0.94,216.29,210.0,89.51,88.64,-31.23,-29.0
2026-03-13T09:19:00,NIFTY 50,23456.3,23461.95,23444.1,23450.25,,,,,,,,,
2026-03-13T09:19:00,NIFTY2631723450CE,242.45,242.45,235.9,238.55,282.49,-1.0,0.04,306.54,320.03,0.95,0.76,-95.58,-96.11
2026-03-13T09:19:00,NIFTY2631723500CE,214.5,217.1,210.15,211.75,255.75,-1.0,0.03,276.38,289.31,0.26,0.25,-91.72,-92.71
2026-03-13T09:19:00,NIFTY2631723550CE,190.6,192.45,186.1,188.05,228.17,-1.0,0.03,249.19,261.27,0.0,0.0,-96.54,-96.98
2026-03-13T09:19:00,NIFTY2631723400PE,209.55,212.75,206.0,209.2,182.89,1.0,0.92,185.07,179.01,81.01,87.09,-33.86,-31.4
2026-03-13T09:19:00,NIFTY2631723450PE,231.1,235.1,227.8,230.95,209.78,1.0,0.93,203.65,196.94,83.44,89.14,-32.75,-30.43
2026-03-13T09:19:00,NIFTY2631723500PE,255.3,259.0,251.55,255.15,222.23,1.0,0.94,224.16,216.74,83.97,89.47,-31.37,-29.13
2026-03-13T09:20:00,NIFTY 50,23448.5,23451.5,23421.7,23422.8,,,,,,,,,
2026-03-13T09:20:00,NIFTY2631723450CE,238.55,238.55,226.0,226.0,274.4,-1.0,0.04,289.03,305.74,0.46,0.75,-100.0,-100.0
2026-03-13T09:20:00,NIFTY2631723500CE,211.75,212.05,201.3,202.95,247.28,-1.0,0.03,260.18,275.97,0.02,0.18,-97.39,-97.7
2026-03-13T09:20:00,NIFTY2631723550CE,187.8,187.8,177.2,177.2,220.22,-1.0,0.03,233.62,248.45,0.0,0.0,-100.0,-100.0
2026-03-13T09:20:00,NIFTY2631723400PE,209.2,221.4,208.2,220.05,186.66,1.0,0.92,192.81,185.3,83.08,83.65,-21.94,-20.34
2026-03-13T09:20:00,NIFTY2631723450PE,230.95,243.25,229.5,242.9,209.78,1.0,0.94,212.27,203.97,85.42,86.01,-20.84,-19.36
2026-03-13T09:20:00,NIFTY2631723500PE,255.15,269.75,254.9,267.1,228.87,1.0,0.94,233.64,224.44,85.77,86.42,-20.44,-18.98
2026-03-13T09:21:00,NIFTY 50,23422.85,23450.55,23418.05,23449.15,,,,,,,,,
2026-03-13T09:21:00,NIFTY2631723450CE,227.7,239.25,226.75,238.95,274.22,-1.0,0.04,272.58,293.08,6.81,2.74,-92.0,-92.92
