#DATE: 2026-02-05
symbol,entry_time,entry_price,exit_time,exit_price,pnl_percent,trade_status,exit_reason
NIFTY2621025700CE,09:19:01,175.2,09:20:04,163.8,-6.51,EXECUTED,SL
NIFTY2621025700PE,10:30:01,144.7,10:51:00,162.05,11.99,EXECUTED,MA_TRAILING_EXIT
NIFTY2621025600CE,10:43:01,176.4,10:57:18,164.4,-6.8,EXECUTED,SL
NIFTY2621025600CE,11:03:01,170.75,11:03:18,171.6,0.5,EXECUTED,FORCE_EXIT
NIFTY2621025700PE,11:19:01,153.65,11:26:10,157.2,2.31,EXECUTED,FORCE_EXIT
NIFTY2621025700PE,11:30:17,148.9,11:30:17,148.95,0.03,EXECUTED,SL
NIFTY2621025700PE,11:30:59,150.3,11:31:10,150.95,0.43,EXECUTED,FORCE_EXIT
NIFTY2621025700PE,11:43:01,146.85,11:49:31,159.85,8.85,EXECUTED,FORCE_EXIT
NIFTY2621025600CE,11:56:01,175.5,12:16:34,164.0,-6.55,EXECUTED,SL
NIFTY2621025700PE,13:05:01,158.6,13:10:16,152.5,-3.85,EXECUTED,FORCE_EXIT
NIFTY2621025700PE,13:12:01,161.1,13:18:34,150.4,-6.64,EXECUTED,SL
NIFTY2621025700PE,13:25:01,155.9,13:29:35,172.55,10.68,EXECUTED,FORCE_EXIT
NIFTY2621025600CE,13:33:01,162.35,13:33:39,161.9,-0.28,EXECUTED,FORCE_EXIT
NIFTY2621025700PE,13:45:01,158.4,13:47:12,154.8,-2.27,EXECUTED,FORCE_EXIT
NIFTY2621025700PE,13:54:01,158.9,13:55:49,161.5,1.64,EXECUTED,FORCE_EXIT
NIFTY2621025600CE,14:02:01,166.95,,,,PENDING,
