#DATE: 2026-01-22
symbol,entry_time,entry_price,exit_time,exit_price,pnl_percent,trade_status,exit_reason
NIFTY26JAN25400PE,09:53:15,125.1,09:58:57,120.0,-4.08,EXECUTED,SL
NIFTY26JAN25400PE,10:03:04,128.5,10:12:04,118.0,-8.17,EXECUTED,SL
NIFTY26JAN25350CE,10:08:01,174.85,10:09:45,164.2,-6.09,EXECUTED,SL
NIFTY26JAN25350CE,10:12:01,180.65,10:14:31,169.1,-6.39,EXECUTED,SL
NIFTY26JAN25350PE,10:28:03,140.4,10:28:38,141.5,0.78,EXECUTED,FORCE_EXIT
NIFTY26JAN25250CE,10:53:01,164.75,10:58:56,154.05,-6.49,EXECUTED,SL
NIFTY26JAN25300PE,10:59:38,165.55,10:59:55,166.85,0.79,EXECUTED,FORCE_EXIT
NIFTY26JAN25200CE,11:04:01,179,11:05:58,167.85,-6.23,EXECUTED,SL
NIFTY26JAN25200CE,11:50:01,167.45,11:59:21,154.15,-7.94,EXECUTED,SL
NIFTY26JAN25200CE,12:07:46,176.7,12:08:16,179.2,1.41,EXECUTED,FORCE_EXIT
NIFTY26JAN25200CE,13:05:01,161.35,13:14:22,151.1,-6.35,EXECUTED,SL
NIFTY26JAN25150CE,13:20:01,189.75,13:21:31,178.0,-6.19,EXECUTED,SL
NIFTY26JAN25150CE,13:33:01,182.9,13:35:21,198.15,8.34,EXECUTED,FORCE_EXIT
NIFTY26JAN25250PE,14:04:01,126.55,14:08:58,137.7,8.81,EXECUTED,FORCE_EXIT
NIFTY26JAN25150CE,14:20:40,181.15,14:22:06,178.7,-1.35,EXECUTED,FORCE_EXIT
NIFTY26JAN25250PE,14:24:05,136.45,14:24:30,139.25,2.05,EXECUTED,FORCE_EXIT
