#DATE: 2026-03-12
symbol,entry_time,entry_price,exit_time,exit_price,pnl_percent,trade_status,exit_reason
NIFTY2631723600CE,09:46:03,303.75,09:51:32,315.45,3.85,EXECUTED,FORCE_EXIT
NIFTY2631723650PE,10:06:02,270.55,,,,PENDING,
NIFTY2631723650PE,10:32:01,268.6,10:33:06,251.1,-6.52,EXECUTED,SL
NIFTY2631723700PE,10:44:05,264.2,10:53:56,246.75,-6.6,EXECUTED,SL
NIFTY2631723700CE,11:26:01,277.65,12:03:31,295.0,6.25,EXECUTED,FORCE_EXIT
NIFTY2631723650PE,11:49:02,230.8,11:56:55,214.9,-6.89,EXECUTED,SL
NIFTY2631723700PE,13:21:09,233,13:23:31,217.8,-6.52,EXECUTED,SL
NIFTY2631723800PE,13:45:09,236.95,14:07:46,259.8,9.64,EXECUTED,FORCE_EXIT
