#DATE: 2026-03-13
symbol,entry_time,entry_price,exit_time,exit_price,pnl_percent,trade_status,exit_reason
NIFTY2631723350CE,10:29:02,250.65,10:43:59,234.3,-6.52,EXECUTED,SL
NIFTY2631723300PE,10:35:02,223.6,10:50:49,209.0,-6.53,EXECUTED,SL
NIFTY2631723350CE,10:50:04,243.05,11:03:00,250.4,3.02,EXECUTED,MA trailing
NIFTY2631723300PE,10:58:02,207,11:25:01,217.45,5.05,EXECUTED,MA trailing
NIFTY2631723350CE,11:21:08,240.5,11:26:54,246.6,2.54,EXECUTED,FORCE_EXIT
NIFTY2631723200CE,13:21:05,249.95,13:24:33,233.15,-6.72,EXECUTED,SL
NIFTY2631723150CE,13:28:01,271.1,13:41:22,253.5,-6.49,EXECUTED,SL
NIFTY2631723150CE,13:50:05,261.8,13:50:37,257.45,-1.66,EXECUTED,FORCE_EXIT
NIFTY2631723150CE,13:54:09,260.4,13:54:56,254.45,-2.28,EXECUTED,FORCE_EXIT
