#DATE: 2026-03-10
symbol,entry_time,entry_price,exit_time,exit_price,pnl_percent,trade_status,exit_reason
NIFTY2631024050CE,09:46:01,144.1,09:48:09,134.65,-6.56,EXECUTED,SL
NIFTY2631024150PE,09:57:01,104.2,10:01:52,95.5,-8.35,EXECUTED,SL
NIFTY2631024250PE,10:54:03,98.15,10:54:45,98.3,0.15,EXECUTED,FORCE_EXIT
NIFTY2631024150CE,11:02:02,102.2,11:02:35,94.0,-8.02,EXECUTED,SL
NIFTY2631024300PE,11:48:02,100.95,11:48:52,108.02,7.0,EXECUTED,Exit weak signal
NIFTY2631024100CE,12:48:02,103.5,12:50:52,118.15,14.15,EXECUTED,FORCE_EXIT
NIFTY2631024250PE,13:24:01,72.35,13:24:08,64.5,-10.85,EXECUTED,SL
NIFTY2631024200CE,13:31:01,76.9,13:31:10,68.55,-10.86,EXECUTED,SL
NIFTY2631024250PE,13:35:01,55.23,13:36:19,50.7,-8.19,EXECUTED,SL
