#DATE: 2026-01-14
symbol,entry_time,entry_price,exit_time,exit_price,pnl_percent,trade_status,exit_reason
NIFTY2612025750PE,09:26:01,135.97,09:28:25,127.0,-6.6,EXECUTED,SL
NIFTY2612025650CE,09:50:17,172.88,,,,PENDING,
NIFTY2612025650CE,09:51:29,184.7,,,,PENDING,
NIFTY2612025700CE,09:58:34,160.65,09:59:02,157.5,-1.96,EXECUTED,SL
NIFTY2612025750PE,11:25:01,122.88,11:27:06,115.4,-6.09,EXECUTED,SL
NIFTY2612025800PE,11:36:01,133.95,,,,PENDING,
NIFTY2612025800PE,11:46:01,135.2,11:48:21,126.95,-6.1,EXECUTED,SL
NIFTY2612025800PE,11:52:01,127.02,,,,PENDING,
NIFTY2612025750CE,11:53:30,154,,,,PENDING,
NIFTY2612025800PE,11:59:01,123.58,,,,PENDING,
NIFTY2612025750CE,12:01:31,159.35,,,,PENDING,
NIFTY2612025800PE,12:06:30,126.56,,,,PENDING,
NIFTY2612025800PE,12:08:13,126.7,,,,PENDING,
NIFTY2612025750CE,12:09:29,142.4,,,,PENDING,
NIFTY2612025800PE,12:10:54,135.45,,,,PENDING,
NIFTY2612025700CE,12:17:16,160.25,,,,PENDING,
NIFTY2612025700CE,12:18:01,165.75,,,,PENDING,
NIFTY2612025750CE,12:27:06,136.53,,,,PENDING,
NIFTY2612025800PE,12:29:35,135.4,,,,PENDING,
NIFTY2612025750CE,12:30:49,139.58,,,,PENDING,
NIFTY2612025750CE,12:32:04,142.06,,,,PENDING,
NIFTY2612025800PE,12:42:01,129.9,,,,PENDING,
NIFTY2612025750CE,12:46:01,139.42,,,,PENDING,
NIFTY2612025700CE,13:05:16,158.16,,,,PENDING,
