#DATE: 2026-01-16
symbol,entry_time,entry_price,exit_time,exit_price,pnl_percent,trade_status,exit_reason
NIFTY2612025650CE,09:35:01,161.5,09:39:50,150.25,-6.97,EXECUTED,SL
NIFTY2612025650CE,09:42:01,158.66,,,,PENDING,
NIFTY2612025750PE,09:46:05,107.9,09:47:14,99.5,-7.78,EXECUTED,SL
NIFTY2612025800PE,09:59:48,119.19,10:01:06,117.2,-1.67,EXECUTED,FORCE_EXIT
NIFTY2612025700CE,10:02:16,151.7,10:02:37,157.5,3.82,EXECUTED,FORCE_EXIT
NIFTY2612025750CE,10:15:32,159.22,10:15:36,160.35,0.71,EXECUTED,FORCE_EXIT
NIFTY2612025900PE,10:43:01,115.79,,,,PENDING,
NIFTY2612025850CE,10:48:21,135.02,10:49:11,127.75,-5.39,EXECUTED,FORCE_EXIT
NIFTY2612025850PE,10:52:05,94.65,10:52:31,95.25,0.63,EXECUTED,FORCE_EXIT
NIFTY2612025800CE,10:53:09,159.8,,,,PENDING,
NIFTY2612025850PE,10:55:05,95.26,10:56:46,93.8,-1.53,EXECUTED,FORCE_EXIT
NIFTY2612025850PE,10:59:00,98.11,10:59:05,98.35,0.24,EXECUTED,FORCE_EXIT
NIFTY2612025800CE,11:02:01,154.9,11:03:48,145.55,-6.04,EXECUTED,SL
NIFTY2612025700CE,13:09:01,137.01,13:10:53,128.3,-6.36,EXECUTED,SL
NIFTY2612025750PE,13:37:01,117.8,13:48:22,108.85,-7.6,EXECUTED,SL
NIFTY2612025750PE,13:52:02,120.05,14:04:05,123.6,2.96,EXECUTED,FORCE_EXIT
