#DATE: 2026-02-27
symbol,entry_time,entry_price,exit_time,exit_price,pnl_percent,trade_status,exit_reason
NIFTY2630225350CE,10:11:01,101.5,10:19:19,93.35,-8.03,EXECUTED,SL
NIFTY2630225300CE,10:24:01,123.6,10:41:31,124.25,0.53,EXECUTED,SL
NIFTY2630225300PE,10:41:01,95.3,10:46:00,101.9,6.93,EXECUTED,MA_TRAILING_EXIT
NIFTY2630225350CE,11:03:01,95.4,11:21:01,100.25,5.08,EXECUTED,MA_TRAILING_EXIT
NIFTY2630225300PE,11:12:01,92.6,11:15:19,85.15,-8.05,EXECUTED,SL
NIFTY2630225300PE,11:17:01,89.7,11:23:00,94.5,5.35,EXECUTED,MA_TRAILING_EXIT
NIFTY2630225300CE,11:41:01,110.65,12:08:31,111.2,0.5,EXECUTED,SL
NIFTY2630225250PE,11:57:01,86.3,11:58:59,79.35,-8.05,EXECUTED,SL
NIFTY2630225250PE,13:10:01,83.8,13:41:29,77.05,-8.05,EXECUTED,SL
NIFTY2630225300PE,13:44:01,98.5,13:47:51,90.6,-8.02,EXECUTED,SL
NIFTY2630225300PE,13:52:03,93.75,13:55:38,86.25,-8.0,EXECUTED,SL
NIFTY2630225300PE,14:03:05,83.65,14:10:19,77.1,-7.83,EXECUTED,SL
