candle_time,symbol,open,high,low,close,supertrend,supertrend_dir,demarker,fast_ma,slow_ma,stoch_k,stoch_d,wpr_9,wpr_28
2026-03-10T09:33:00,NIFTY 50,24136.65,24137.5,24134.45,24135.8,,,,,,,,,
2026-03-10T09:15:00,NIFTY2631024050CE,233.5,261.7,184.85,192.3,175.57,1.0,0.69,169.17,169.82,40.96,16.82,-64.08,-64.08
2026-03-10T09:15:00,NIFTY2631024100CE,164.0,249.9,151.15,160.0,151.88,1.0,0.73,143.81,144.39,40.33,16.36,-74.98,-74.98
2026-03-10T09:15:00,NIFTY2631024150CE,175.0,202.6,121.5,121.5,131.91,-1.0,0.7,119.99,120.64,21.58,9.65,-86.65,-86.65
2026-03-10T09:15:00,NIFTY2631024100PE,100.0,100.0,48.05,64.05,138.37,-1.0,0.14,206.76,209.66,50.79,75.86,-91.21,-91.21
2026-03-10T09:15:00,NIFTY2631024150PE,83.8,96.1,64.25,82.7,148.11,-1.0,0.16,233.49,236.65,47.65,73.78,-90.52,-90.52
2026-03-10T09:15:00,NIFTY2631024200PE,148.8,148.8,84.0,111.15,188.53,-1.0,0.17,262.95,265.9,48.91,74.93,-86.81,-86.81
2026-03-10T09:35:00,NIFTY 50,24124.25,24124.25,24116.6,24119.3,,,,,,,,,
2026-03-10T09:35:00,NIFTY2631024050CE,135.2,135.2,130.3,134.2,167.3,-1.0,0.38,143.98,143.16,41.83,52.79,-88.2,-97.03
2026-03-10T09:35:00,NIFTY2631024100CE,103.95,104.55,99.9,100.8,133.1,-1.0,0.37,111.27,110.84,37.52,47.67,-97.0,-99.4
2026-03-10T09:35:00,NIFTY2631024150CE,76.75,77.6,72.6,74.2,101.41,-1.0,0.38,83.16,82.79,45.08,54.61,-93.97,-98.77
2026-03-10T09:35:00,NIFTY2631024100PE,74.95,77.5,72.35,75.5,97.35,-1.0,0.66,68.94,69.33,100.0,95.58,-15.03,-84.91
2026-03-10T09:35:00,NIFTY2631024150PE,98.4,101.25,95.75,98.3,123.42,-1.0,0.67,91.45,92.0,99.93,95.2,-17.91,-82.51
2026-03-10T09:35:00,NIFTY2631024200PE,127.25,130.7,124.8,127.75,155.36,-1.0,0.64,118.99,119.67,100.0,94.9,-15.43,-78.75
2026-03-10T09:36:00,NIFTY 50,24119.65,24120.0,24089.05,24091.25,,,,,,,,,
2026-03-10T09:36:00,NIFTY2631024050CE,131.6,132.8,114.9,116.9,159.77,-1.0,0.28,140.47,140.68,25.11,40.95,-95.87,-98.64
2026-03-10T09:36:00,NIFTY2631024100CE,100.8,101.4,86.0,88.9,125.34,-1.0,0.28,108.27,108.62,22.73,37.03,-93.39,-98.23
2026-03-10T09:36:00,NIFTY2631024150CE,74.2,74.3,63.95,65.1,95.39,-1.0,0.29,80.75,81.04,29.62,44.06,-96.73,-99.17
2026-03-10T09:36:00,NIFTY2631024100PE,75.5,99.35,73.8,95.95,97.35,-1.0,0.8,72.08,71.97,100.0,98.27,-8.45,-73.67
2026-03-10T09:36:00,NIFTY2631024150PE,98.3,126.2,97.3,121.85,123.42,-1.0,0.8,94.97,94.88,99.93,98.02,-9.23,-70.42
2026-03-10T09:36:00,NIFTY2631024200PE,127.75,157.7,126.4,152.15,155.36,-1.0,0.77,122.83,122.8,100.0,97.84,-10.42,-66.9
2026-03-10T09:39:00,NIFTY 50,24103.7,24106.45,24091.9,24091.9,,,,,,,,,
2026-03-10T09:39:00,NIFTY2631024050CE,127.75,127.75,121.1,121.5,156.82,-1.0,0.33,132.1,135.04,40.44,32.03,-82.83,-95.5
2026-03-10T09:39:00,NIFTY2631024100CE,97.95,98.4,92.75,92.8,123.5,-1.0,0.34,100.82,103.65,43.07,32.72,-79.94,-95.85
2026-03-10T09:39:00,NIFTY2631024150CE,71.7,72.55,68.45,68.45,94.1,-1.0,0.36,74.72,77.0,53.86,40.8,-81.54,-96.55
2026-03-10T09:39:00,NIFTY2631024100PE,86.35,93.0,86.35,93.0,97.35,-1.0,0.78,79.66,77.39,88.55,90.77,-16.96,-75.24
2026-03-10T09:39:00,NIFTY2631024150PE,111.0,120.2,111.0,120.2,123.42,-1.0,0.78,103.77,101.18,88.98,90.91,-13.89,-71.26
2026-03-10T09:39:00,NIFTY2631024200PE,140.85,150.05,140.85,150.05,155.36,-1.0,0.76,132.56,129.62,88.21,90.38,-15.69,-67.92
2026-03-10T09:40:00,NIFTY 50,24093.6,24100.8,24093.6,24096.55,,,,,,,,,
2026-03-10T09:40:00,NIFTY2631024050CE,121.5,125.1,121.5,122.9,153.35,-1.0,0.38,130.01,132.0,39.45,36.6,-79.19,-94.55
2026-03-10T09:40:00,NIFTY2631024100CE,92.8,96.95,92.4,92.4,120.95,-1.0,0.39,98.97,100.85,40.16,38.2,-81.12,-96.1
2026-03-10T09:40:00,NIFTY2631024150CE,68.7,71.3,68.7,68.7,91.95,-1.0,0.41,73.28,74.78,55.0,49.5,-80.58,-96.37
