#DATE: 2026-02-06
symbol,entry_time,entry_price,exit_time,exit_price,pnl_percent,trade_status,exit_reason
NIFTY2621025600CE,09:16:06,166.95,09:16:06,129.25,-22.58,EXECUTED,SL
NIFTY2621025550CE,09:28:01,149.55,09:29:29,140.55,-6.02,EXECUTED,SL
NIFTY2621025500CE,09:48:01,158.1,09:58:08,150.35,-4.9,EXECUTED,FORCE_EXIT
NIFTY2621025500CE,10:37:01,128.55,10:40:59,124.35,-3.27,EXECUTED,FORCE_EXIT
NIFTY2621025500CE,10:47:01,126.35,10:47:54,123.65,-2.14,EXECUTED,FORCE_EXIT
NIFTY2621025500CE,10:57:01,121,10:57:19,119.45,-1.28,EXECUTED,FORCE_EXIT
NIFTY2621025500CE,11:00:48,128.3,11:02:05,133.5,4.05,EXECUTED,FORCE_EXIT
NIFTY2621025650PE,11:46:01,125.8,11:47:18,116.15,-7.67,EXECUTED,SL
NIFTY2621025650PE,11:53:11,121.75,11:58:22,121.75,0.0,EXECUTED,FORCE_EXIT
NIFTY2621025600PE,13:10:01,123.15,13:24:18,113.9,-7.51,EXECUTED,SL
NIFTY2621025550CE,13:35:01,111.2,13:48:02,124.45,11.92,EXECUTED,FORCE_EXIT
NIFTY2621025650PE,14:05:01,115.85,14:06:04,114.15,-1.47,EXECUTED,FORCE_EXIT
