#DATE: 2026-02-26
symbol,entry_time,entry_price,exit_time,exit_price,pnl_percent,trade_status,exit_reason
NIFTY2630225550CE,10:05:01,135.8,10:09:18,145.0,6.77,EXECUTED,FORCE_EXIT
NIFTY2630225550CE,10:49:01,133.05,10:52:39,124.15,-6.69,EXECUTED,SL
NIFTY2630225500CE,11:06:01,142.2,11:23:28,151.7,6.68,EXECUTED,FORCE_EXIT
NIFTY2630225500PE,11:32:01,96.6,11:32:49,102.4,6.0,EXECUTED,FORCE_EXIT
NIFTY2630225450CE,13:06:01,132.2,13:11:46,122.95,-7.0,EXECUTED,SL
NIFTY2630225400PE,13:13:01,105.75,13:26:27,106.5,0.71,EXECUTED,SL
NIFTY2630225450CE,13:24:02,123.7,13:59:12,119.9,-3.07,EXECUTED,SL
NIFTY2630225400PE,14:04:01,111.45,14:08:55,107.7,-3.36,EXECUTED,SL
NIFTY2630225450CE,14:11:02,126.65,14:14:06,129.55,2.29,EXECUTED,FORCE_EXIT
NIFTY2630225450PE,14:23:01,124.25,14:29:03,115.45,-7.08,EXECUTED,SL
