#DATE: 2026-02-23
symbol,entry_time,entry_price,exit_time,exit_price,pnl_percent,trade_status,exit_reason
NIFTY26FEB25750CE,09:57:02,100.05,09:58:33,91.7,-8.35,EXECUTED,SL
NIFTY26FEB25750CE,10:11:01,91.22,10:13:03,83.65,-8.3,EXECUTED,SL
NIFTY26FEB25750CE,10:17:02,88.6,10:19:12,94.8,7.0,EXECUTED,EXIT_WEAK_SIGNAL
NIFTY26FEB25700CE,10:36:01,104.55,10:38:08,96.05,-8.13,EXECUTED,SL
NIFTY26FEB25650PE,11:05:02,81.8,11:06:27,91.75,12.16,EXECUTED,FORCE_EXIT
NIFTY26FEB25700CE,11:10:02,89.7,11:10:27,91.9,2.45,EXECUTED,FORCE_EXIT
NIFTY26FEB25650PE,11:14:01,76.5,11:15:27,73.35,-4.12,EXECUTED,FORCE_EXIT
NIFTY26FEB25650PE,11:19:01,83.3,11:20:03,83.95,0.78,EXECUTED,FORCE_EXIT
