Strike Type,Total Trades,Filtered Trades,Winning Trades,Filtering Efficiency,Un-Filtered P&L,Filtered P&L,Win Rate,expiry_week,day_label,data_type
DYNAMIC_OTM,14,14,4,100.0%,-51.68%,-51.68%,28.6%,JAN27_DYNAMIC,JAN23,DYNAMIC
DYNAMIC_ATM,21,20,7,95.2%,-51.26%,-46.00%,35.0%,JAN27_DYNAMIC,JAN23,DYNAMIC
DYNAMIC_OTM,13,12,3,92.3%,-31.70%,-38.71%,25.0%,JAN27_DYNAMIC,JAN22,DYNAMIC
DYNAMIC_ATM,17,14,5,82.4%,-13.79%,-13.54%,35.7%,JAN27_DYNAMIC,JAN22,DYNAMIC
DYNAMIC_OTM,10,10,3,100.0%,-1.42%,-1.42%,30.0%,JAN27_DYNAMIC,JAN21,DYNAMIC
DYNAMIC_ATM,15,7,4,46.7%,-4.96%,36.31%,57.1%,JAN27_DYNAMIC,JAN21,DYNAMIC
DYNAMIC_OTM,0,0,0,0.0%,0.00%,0.00%,0.0%,JAN13_DYNAMIC,JAN12,DYNAMIC
DYNAMIC_ATM,0,0,0,0.0%,0.00%,0.00%,0.0%,JAN13_DYNAMIC,JAN12,DYNAMIC
DYNAMIC_OTM,0,0,0,0.0%,0.00%,0.00%,0.0%,JAN13_DYNAMIC,JAN09,DYNAMIC
DYNAMIC_ATM,0,0,0,0.0%,0.00%,0.00%,0.0%,JAN13_DYNAMIC,JAN09,DYNAMIC
DYNAMIC_OTM,0,0,0,0.0%,0.00%,0.00%,0.0%,JAN13_DYNAMIC,JAN08,DYNAMIC
DYNAMIC_ATM,0,0,0,0.0%,0.00%,0.00%,0.0%,JAN13_DYNAMIC,JAN08,DYNAMIC
DYNAMIC_OTM,0,0,0,0.0%,0.00%,0.00%,0.0%,JAN13_DYNAMIC,JAN07,DYNAMIC
DYNAMIC_ATM,0,0,0,0.0%,0.00%,0.00%,0.0%,JAN13_DYNAMIC,JAN07,DYNAMIC
DYNAMIC_OTM,12,12,6,100.0%,32.63%,32.63%,50.0%,JAN20_DYNAMIC,JAN19,DYNAMIC
DYNAMIC_ATM,16,16,7,100.0%,37.42%,37.42%,43.8%,JAN20_DYNAMIC,JAN19,DYNAMIC
DYNAMIC_OTM,13,13,4,100.0%,56.52%,56.52%,30.8%,JAN20_DYNAMIC,JAN16,DYNAMIC
DYNAMIC_ATM,16,16,4,100.0%,22.76%,22.76%,25.0%,JAN20_DYNAMIC,JAN16,DYNAMIC
DYNAMIC_OTM,12,12,5,100.0%,26.26%,26.26%,41.7%,JAN20_DYNAMIC,JAN14,DYNAMIC
DYNAMIC_ATM,18,17,6,94.4%,39.86%,33.17%,35.3%,JAN20_DYNAMIC,JAN14,DYNAMIC
