Strike Type,Total Trades,Filtered Trades,Winning Trades,Filtering Efficiency,Un-Filtered P&L,Filtered P&L,Win Rate,expiry_week,day_label,data_type
DYNAMIC_OTM,4,4,3,100.0%,9.30%,9.30%,75.0%,FEB24_DYNAMIC,FEB23,DYNAMIC
DYNAMIC_ATM,4,4,2,100.0%,-5.14%,-5.14%,50.0%,FEB24_DYNAMIC,FEB23,DYNAMIC
DYNAMIC_OTM,4,4,2,100.0%,9.60%,9.60%,50.0%,FEB24_DYNAMIC,FEB20,DYNAMIC
DYNAMIC_ATM,4,2,1,50.0%,3.35%,3.35%,50.0%,FEB24_DYNAMIC,FEB20,DYNAMIC
DYNAMIC_OTM,5,5,2,100.0%,22.10%,22.10%,40.0%,FEB24_DYNAMIC,FEB19,DYNAMIC
DYNAMIC_ATM,5,5,3,100.0%,46.11%,46.11%,60.0%,FEB24_DYNAMIC,FEB19,DYNAMIC
DYNAMIC_OTM,5,5,1,100.0%,-11.89%,-11.89%,20.0%,FEB24_DYNAMIC,FEB18,DYNAMIC
DYNAMIC_ATM,5,5,3,100.0%,29.57%,29.57%,60.0%,FEB24_DYNAMIC,FEB18,DYNAMIC
DYNAMIC_OTM,0,0,0,0.0%,0.00%,0.00%,0.0%,FEB03_DYNAMIC,FEB02,DYNAMIC
DYNAMIC_ATM,3,3,2,100.0%,86.72%,86.72%,66.7%,FEB03_DYNAMIC,FEB02,DYNAMIC
DYNAMIC_OTM,0,0,0,0.0%,0.00%,0.00%,0.0%,FEB03_DYNAMIC,FEB01,DYNAMIC
DYNAMIC_ATM,10,0,0,0.0%,-20.49%,0.00%,0.0%,FEB03_DYNAMIC,FEB01,DYNAMIC
DYNAMIC_OTM,0,0,0,0.0%,0.00%,0.00%,0.0%,FEB03_DYNAMIC,JAN30,DYNAMIC
DYNAMIC_ATM,2,2,0,100.0%,-8.87%,-8.87%,0.0%,FEB03_DYNAMIC,JAN30,DYNAMIC
DYNAMIC_OTM,0,0,0,0.0%,0.00%,0.00%,0.0%,FEB03_DYNAMIC,JAN29,DYNAMIC
DYNAMIC_ATM,10,0,0,0.0%,-9.33%,0.00%,0.0%,FEB03_DYNAMIC,JAN29,DYNAMIC
DYNAMIC_OTM,0,0,0,0.0%,0.00%,0.00%,0.0%,FEB03_DYNAMIC,JAN28,DYNAMIC
DYNAMIC_ATM,15,0,0,0.0%,-29.59%,0.00%,0.0%,FEB03_DYNAMIC,JAN28,DYNAMIC
DYNAMIC_OTM,11,0,0,0.0%,-47.16%,0.00%,0.0%,JAN27_DYNAMIC,JAN23,DYNAMIC
DYNAMIC_ATM,2,0,0,0.0%,0.00%,0.00%,0.0%,JAN27_DYNAMIC,JAN23,DYNAMIC
DYNAMIC_OTM,3,3,1,100.0%,8.36%,8.36%,33.3%,JAN27_DYNAMIC,JAN22,DYNAMIC
DYNAMIC_ATM,3,3,1,100.0%,6.38%,6.38%,33.3%,JAN27_DYNAMIC,JAN22,DYNAMIC
DYNAMIC_OTM,10,0,0,0.0%,-14.68%,0.00%,0.0%,JAN27_DYNAMIC,JAN21,DYNAMIC
DYNAMIC_ATM,16,0,0,0.0%,-11.65%,0.00%,0.0%,JAN27_DYNAMIC,JAN21,DYNAMIC
DYNAMIC_OTM,2,2,2,100.0%,13.41%,13.41%,100.0%,JAN20_DYNAMIC,JAN19,DYNAMIC
DYNAMIC_ATM,1,1,1,100.0%,6.32%,6.32%,100.0%,JAN20_DYNAMIC,JAN19,DYNAMIC
DYNAMIC_OTM,2,2,0,100.0%,-8.45%,-8.45%,0.0%,JAN20_DYNAMIC,JAN16,DYNAMIC
DYNAMIC_ATM,3,0,0,0.0%,0.00%,0.00%,0.0%,JAN20_DYNAMIC,JAN16,DYNAMIC
DYNAMIC_OTM,9,0,0,0.0%,41.28%,0.00%,0.0%,JAN20_DYNAMIC,JAN14,DYNAMIC
DYNAMIC_ATM,15,0,0,0.0%,41.22%,0.00%,0.0%,JAN20_DYNAMIC,JAN14,DYNAMIC
